Stall Name,Cuisine,Cuisine 1,Cuisine 2,Cuisine 3,Shop Type,Address,Google Address,Average Review,Number of Reviews
Tiong Bahru Lor Mee (Old Airport Road Food Centre),['Chinese'],Chinese,,,Kiosk or Stall,#01-124 Old Airport Road Food Centre Old Airport Road 390051,,,
Ikoi Japanese Restaurant,"['Asian', 'Japanese']",Asian,Japanese,,Restaurant,#01-01 Hotel Miramar Havelock Road 169631,"401 Havelock Rd, Singapore 169631",4.2,650.0
The Hot Stuff Nasi Padang Stall,"['Asian', 'Local', 'Malaysian']",Asian,Local,Malaysian,Kiosk or Stall,  Kent Ridge Crescent 119260,"450 Lor 6 Toa Payoh, Singapore 319394",,650.0
51 Ming Fa Wanton Egg Noodle,['Chinese'],Chinese,,,Kiosk or Stall,#01-64 Kovan Hougang Market and Food Centre Hougang Street 21 530209,,,
Jian Bo Tiong Bahru Shui Kueh (Tampines St. 81) (Jian Bo Tiong Bahru Shui Kueh (Tampines St. 81)),[None],,,,Hawker,#01-02 Multi Storey Car Park Tampines Street 81 521823,"823A Tampines Street 81, #01-02, Singapore 521823",4.0,1.0
Kampong Maggie,"['Local', 'Western', 'Zi Char']",Local,Western,Zi Char,Kiosk or Stall,  New Industrial Road 536202,"12 New Industrial Rd, Singapore 536202",4.3,6.0
Soon Lee Lor Mee Stall,['Chinese'],Chinese,,,Kiosk or Stall,#01-07  Circuit Road 370079,"Blk 79 Circuit Road, #01-07, 370079",4.2,123.0
Hwa Seng Fish Porridge,"['Seafood', 'Singaporean']",Seafood,Singaporean,,Kiosk or Stall,#01-22 Bendemeer Market and Food Centre Bendemeer Road 330029,,,
Tiong Bahru Hainanese Chicken Rice & Curry Rice,"['Asian', 'Chinese', 'Local']",Asian,Chinese,Local,Restaurant,  New Bridge Road 059388,,,
Bishan Mee Siam,"['Asian', 'Chinese']",Asian,Chinese,,Kiosk or Stall,#01-193 Sin Moon Kee Coffee Shop Bishan Street 11 570151,,,
Keat Lim Vegetarian Food,"['Asian', 'Chinese', 'Local', 'Vegetarian']",Asian,Chinese,Local,Kiosk or Stall,#01-48 Whampoa Drive Makan Place Block 91 Whampoa Drive 320091,"108 Ang Mo Kio Ave 4, Singapore 560108",4.0,206.0
Ann Chin Popiah (Chong Pang Food Hawker),"['Asian', 'Chinese', 'Local', 'Snacks']",Asian,Chinese,Local,Kiosk or Stall,- Chong Pang Market & Food Centre Yishun Ring Road 760104,"587 Bukit Timah Rd, Singapore 269707",4.0,10.0
Gu Thai House (Kallang),['Thai'],Thai,,,Cafe,  Sims Avenue 387424,"96 Sims Ave, Singapore 387424",4.1,184.0
Starbucks (The Poiz Centre),"['American', 'European', 'Western']",American,European,Western,Cafe,#01-02 The Poiz Centre Upper Serangoon Road 347697,"51 Upper Serangoon Rd, #01-02 Cheers The Poiz Centre, Singapore 347697",4.1,74.0
Boon Tong Kee Kway Chap and Duck Noodle,"['Chinese', 'Local']",Chinese,Local,,Kiosk or Stall,Stall 24 Zion Riverside Food Centre Zion Road 247792,"70 Zion Rd, Singapore 247792",4.1,33.0
