Stall Name,Cuisine,Shop Type,Address
Serangoon Garden (Aljunied Ave 2 Market and Food Centre),['Chinese'],Kiosk or Stall,#01-50 Aljunied Ave 2 Market and Food Centre Aljunied Avenue 2 380117
Hua Kee Hougang Famous Wanton Mee,['Chinese'],Kiosk or Stall,#01-02 Old Airport Road Food Centre Old Airport Road 390051
Shake Shack (Jewel Changi Airport),['Western'],Restaurant,#02-256 Jewel Changi Airport Airport Boulevard 819666
Golden Gourmet Bak Kwa Pte. Ltd 金质肉干,"['Asian', 'Chinese', 'Snacks']",Food Retailer,#05-31 Food Xchange @ Admiralty Admiralty Street 757437
Galley by the Straits,"['Asian', 'Chinese', 'Seafood', 'Western']",Restaurant, Saf Yacht Club Admiralty Road West 759962
The Boiler Seafood Bar & Beer (Howard),"['American', 'Cajun/Creole', 'Seafood', 'Western']",Bar or Pub,#01-06 Novelty Bizcentre Howard Road 369585
Golden Jade Restaurant,"['Asian', 'Chinese']",Restaurant,  Geylang Road 389324
Toa Payoh Satay,"['Barbecue', 'Chinese', 'Singaporean']",Kiosk or Stall,#01-78 Old Airport Road Food Centre Old Airport Road 390051
Kheng Hai Hui Boneless Chicken,"['Chinese', 'Hainanese']",Kiosk or Stall,#01-25 Old Airport Road Food Centre Old Airport Road 390051
Signature Slice,['Desserts'],Confectionery or Bakery,#01-146 Hdb-alexandra Bukit Merah Lane 1 150124
Ocean Spoon Dining (SAF Yacht Club),"['Chinese', 'Seafood', 'Western']",Restaurant, SAF Yacht Club Admiralty Road West 759962
Cai Long Coffee,['Drinks'],Kiosk or Stall,#01-99 Circuit Road Hawker Centre Circuit Road 370089
BreadTalk (ZhongShan Mall),"['Desserts', 'Snacks']",Cafe,#01-10/13 ZhongShan Mall Ah Hood Road 329984
Lucy's Penang Delights,"['Asian', 'Chinese', 'Malaysian', 'Nonya / Peranakan']",Kiosk or Stall,#01-05 Aljunied Market & Food Centre Aljunied Avenue 2 380117
Ah Seng Braised Duck Rice,"['Asian', 'Chinese', 'Teochew']",Kiosk or Stall,#01-44 Serangoon Garden Market and Food Centre Serangoon Garden Way 555945
Soon Soon,['Chinese'],Kiosk or Stall,#01-54 Aljunied Ave 2 Market and Food Centre Aljunied Ave 2 380117
Xiao Xiang Yuan,"['Asian', 'Chinese', 'Hunan']",Restaurant,  Geylang Road 389517
Kimly Dessert (Old Airport Road),"['Desserts', 'Local', 'Singaporean']",Confectionery or Bakery,#01-150 Old Airport Road Food Centre Old Airport Road 390051
Yat Lok Roasted Delight (Geylang),['Chinese'],Kiosk or Stall,#01-55  Aljunied Avenue 2 380116
Sugarena,['Desserts'],Confectionery or Bakery,  Woodlands Ring Road 730658
Shun Shun Lai Laksa,['Chinese'],Kiosk or Stall,#01-133 Circuit Road Hawker Centre Circuit Road 370089
Cho Kee Noodles,"['Asian', 'Chinese', 'Snacks']",Kiosk or Stall,#01-04 Old Airport Road Food Centre Old Airport Road 390051
Go2eat,['Western'],Kiosk or Stall,  Anamalai Avenue 279985
555 Villa Thai,"['Steamboat', 'Thai']",Restaurant,  Cosford Road 499550
Old Airport Road Mixed Pork Soup,['Asian'],Kiosk or Stall,#01-106 Old Airport Road Food Centre Old Airport Road 390051
89 Carrot Cake,"['Chinese', 'Singaporean']",Kiosk or Stall,#01-102 Circuit Road Hawker Centre Circuit Road 370089
Chinatown Tai Chong Kok Confectionery Hue Kee (Alexandra Village),"['Asian', 'Chinese', 'Desserts', 'Snacks']",Confectionery or Bakery,#01-62 Alexandra Village Bukit Merah Lane 1 150122
We Western,['Western'],Kiosk or Stall,#01-19 Bukit Merah View Hawker Centre Bukit Merah View 151115
Happy Duck (Bukit Merah),['Chinese'],Kiosk or Stall,#01-283 Bukit Merah View Market and Food Centre Bukit Merah View 151115
Lady M (Jewel Changi Airport),"['Asian', 'Desserts', 'European', 'French', 'Japanese']",Cafe,#02-253 Jewel Changi Airport Airport Boulevard 819642
Prata Alley,['Indian'],Restaurant,#01-12 321 Clementi Clementi Avenue 3 129905
Yu Zhi Jia,"['Chinese', 'Seafood']",Kiosk or Stall,#01-295 Bukit Merah View Market and Food Centre Bukit Merah View 151115
Jia Le Prawn Mee & Lor Mee,['Chinese'],Kiosk or Stall,#01-130 Circuit Road Hawker Centre Circuit Road 370089
Papitto Gelato,"['Desserts', 'Snacks']",Kiosk or Stall,#03-08 Food Xchange @ Admiralty Admiralty Street 757437
Saltwater (Temporarily Closed),"['Asian', 'Halal', 'International', 'Seafood', 'Singaporean']",Cafe,Level 1 Village Hotel Changi Netheravon Road 508502
CCK190 Wanton Mee (Block 89 Circuit Road Market & Food Centre),['Chinese'],Kiosk or Stall,#01-110 Block 89 Circuit Road Market & Food Centre Circuit Road 370089
Yuan Xiang Western Food,"['Snacks', 'Western']",Kiosk or Stall,#01-650 79/79A Circuit Road Food Centre Circuit Road 370079
132 Claypot Rice,['Singaporean'],Kiosk or Stall,#01-132 Old Airport Road Food Centre Old Airport Road 390051
Aqua Luna (Temporarily Closed),"['Cocktails', 'Drinks', 'Snacks', 'Wine']",Bar or Pub,Level 7 Alexandra Central Alexandra Road 159972
Aik Kee Haslet Soup,"['Chinese', 'Local', 'Singaporean']",Kiosk or Stall,#01-56 Aljunied Ave 2 Market and Food Centre Aljunied Ave 2 380117
Aljunied Coffee Shop,['Drinks'],Kiosk or Stall,#01-670 79/79A Circuit Road Food Centre Circuit Road 370079
Soon Lee (Clementi Avenue 3),"['Chinese', 'Snacks']",Kiosk or Stall,#01-26 Clementi Avenue 3 Clementi Avenue 3 120448
Circuit Road Fried Kway Teow Stall,['Chinese'],Kiosk or Stall,#01-19 79/79A Circuit Road Food Centre Circuit Road 370079
Chye Seng Satay,"['Barbecue', 'Chinese', 'Singaporean']",Kiosk or Stall,#01-146 Old Airport Road Food Centre Old Airport Road 390051
