placeId,Stall Name,Cuisine,Cuisine 1,Cuisine 2,Cuisine 3,Shop Type,Address,Google Address,Average Review,Number of Reviews
60,La Fromagerie,"['European', 'French', 'Western', 'Wine']",European,French,Western,Bar or Pub,#01-64 Chip Bee Gardens Jalan Merah Saga 278115,"43 Jln Merah Saga, Singapore 278115",,
61,Ms Haji Abdul Rahim Muhibbi Stall,['Fruits & Drinks'],Fruits & Drinks,,,Kiosk or Stall,#01-28 ABC Brickworks Food Centre Jalan Bukit Merah 150006,"6 Jalan Bukit Merah, Singapore 150006",,
62,KINS Restaurant,"['Steak and Grills', 'Western']",Steak and Grills,Western,,Restaurant,  Jalan Klapa 199314,"2 Jln Klapa, Singapore 199314",4.5,6
63,Li Fang Zhou Pin,"['Chinese', 'Snacks']",Chinese,Snacks,,Kiosk or Stall,#01-45 ABC Brickworks Food Centre Jalan Bukit Merah 150006,"347 Jurong East Ave 1, #01-206 Yuhua Market & Hawker Centre, Singapore 600347",4.4,9
64,Let's Eat! (Seletar Mall),"['Malaysian', 'Singaporean']",Malaysian,Singaporean,,Restaurant,#B2-05/06 The Seletar Mall Sengkang West Avenue 797653,"33 Sengkang West Ave, #B2-05/06 The Seletar Mall, Singapore 797653",3.2,81
65,Sin Kee Cooked Food,['Chinese'],Chinese,,,Kiosk or Stall,#01-1648J Jalan Bukit Merah Food Centre Jalan Bukit Merah 160112,"112 Jalan Bukit Merah, Singapore 160112",,
66,Happy Hainanese Chicken Rice,"['Local', 'Singaporean']",Local,Singaporean,,Kiosk or Stall,#01-105 ABC Brickworks Food Centre Jalan Bukit Merah 150006,"6 Jalan Bukit Merah Lane 1, #01-125, Singapore 150006",5,3
67,Shahi Grill & Tandoor,"['Barbecue', 'Chinese', 'Japanese', 'Singaporean', 'Turkish']",Barbecue,Chinese,Japanese,Restaurant, Little India Conservation Area Dunlop Street 209370,"Devaraj Complex 661 Avinashi Road Opp. Shanti Theatre, Peelamedu, Coimbatore, Tamil Nadu 641004, India",,
68,Nasi Lemak,['Malaysian'],Malaysian,,,Kiosk or Stall,#01-25 ABC Brickworks Food Centre Jalan Bukit Merah 150006,,,
69,Han's (The Seletar Mall),"['Asian', 'International', 'Western']",Asian,International,Western,Cafe,#B2-03/04 The Seletar Mall Sengkang West Avenue 797653,"33 Sengkang West Ave, Singapore 797653",3.7,202
70,Song Fa Bak Kut Teh (The Seletar Mall),"['Asian', 'Chinese', 'Local', 'Singaporean', 'Teochew']",Asian,Chinese,Local,Restaurant,#01-39/40/41 The Seletar Mall Sengkang West Avenue 797653,"33 Sengkang West Ave, #01-39/40/41 The Seletar Mall, Singapore 797653",4.2,571
71,G.I 100% Fresh Fruit Juice,"['Fruits & Drinks', 'Juices']",Fruits & Drinks,Juices,,Kiosk or Stall,#01-30 ABC Brickworks Food Centre Jalan Bukit Merah 150006,"6 Jalan Bukit Merah, #01-30, Singapore 150006",,
72,Gogo Beanz,"['Chinese', 'Desserts', 'Drinks']",Chinese,Desserts,Drinks,Kiosk or Stall,#01-16 ABC Brickworks Food Centre Jalan Bukit Merah 150006,"6 Bukit Merah Lane 1, #01-16, Singapore 150006",3,1
73,Spizza (Jalan Kayu),"['European', 'Italian', 'Pizza']",European,Italian,Pizza,Restaurant,  Jalan Kayu 799497,"269 Jln Kayu, Singapore 799497",4.3,353
74,Beautea,[None],,,,Kiosk or Stall,#01-43 ABC Brickworks Food Centre Jalan Bukit Merah 150006,"ABC Brickworks #01-43, 6 Jalan Bukit Merah, Singapore 150006",3.4,11
75,Mok Lee Cold & Hot Drink,"['Asian', 'Fruits & Drinks', 'Local', 'Snacks']",Asian,Fruits & Drinks,Local,Kiosk or Stall,#01-127 ABC Brickworks Food Centre Jalan Bukit Merah 150006,"5048 Ang Mo Kio Ind Park 2, #01-621, Singapore 569551",4.8,4
76,Abang Bo Corner,[None],,,,Kiosk or Stall,#01-07 ABC Brickworks Food Centre Jalan Bukit Merah 150006,"6 Jalan Bukit Merah, #01-07 ABC Brickworks Market and Food Centre, Singapore 150006",,
77,Domino's Pizza (Jalan Kayu),"['Halal', 'Pizza', 'Western']",Halal,Pizza,Western,Restaurant,  Jalan Kayu 799457,"233 Jln Kayu, Singapore 799457",4.2,90
78,Kpt (Jalan Tenaga),"['Asian', 'Chinese', 'Malaysian']",Asian,Chinese,Malaysian,Kiosk or Stall,#01-01  Jalan Tenaga 411651,"651A Jln Tenaga, Singapore 411651",3.9,325
79,Gourmet Street (Bukit Merah),['Chinese'],Chinese,,,Kiosk or Stall,  Jalan Bukit Merah 160131,"131 Jalan Bukit Merah, Singapore 160131",4.1,25
80,69 Cold Soya Beancurd,"['Chinese', 'Desserts']",Chinese,Desserts,,Kiosk or Stall,#01-30 ABC Brickworks Food Centre Jalan Bukit Merah 150006,"209 Hougang Street 21, #01-14, Singapore 530209",4.4,7
81,Momoya,"['Asian', 'Japanese']",Asian,Japanese,,Restaurant, Picardy Gardens Jalan Pari Burong 488682,"16 Jln Pari Burong, Singapore 488682",4,148
82,Canton Paradise Noodle & Congee House (The Seletar Mall),"['Asian', 'Cantonese', 'Chinese', 'Dim Sum', 'Hong Kong']",Asian,Cantonese,Chinese,Restaurant,#03-10 The Seletar Mall Sengkang West Avenue 797653,,,
83,The Garden Authentic Thai Food,"['Local', 'Thai']",Local,Thai,,Kiosk or Stall,#01-50 ABC Brickworks Food Centre Jalan Bukit Merah 150006,"6 Jalan Bukit Merah, Singapore 150006",3,2
84,Gastronomia (Holland Village),"['European', 'Italian', 'Pizza', 'Western']",European,Italian,Pizza,Cafe,#01-74  Jalan Merah Saga 278115,"118 Holland Ave, #01-06, Raffles 278997",3.9,177
85,Sushi Express (The Seletar Mall),['Japanese'],Japanese,,,Restaurant,#02-K4/K5 The Seletar Mall Sengkang West Avenue 797653,"33 Sengkang West Ave, #02-K4/K5, Singapore 797653",3.8,798
86,Nasi Putih Ayam Penyet,"['Chinese', 'Malaysian', 'Snacks']",Chinese,Malaysian,Snacks,Kiosk or Stall,#01-05 ABC Brickworks Food Centre Jalan Bukit Merah 150006,"6 Jalan Bukit Merah, #01-26 ABC Brickworks Market and Food Centre, Singapore 150006",5,4
87,Fernvale Cafe,"['Local', 'Singaporean']",Local,Singaporean,,Cafe,#01-14  Fernvale Road 792408,"408B Fernvale Rd, Singapore 972408",3.3,33
88,LeNu (The Seletar Mall),"['Chinese', 'Taiwanese']",Chinese,Taiwanese,,Restaurant,#03-10 The Seletar Mall Sengkang West Avenue 797653,"33 Sengkang West Ave, #03-10, The Seletar Mall, 797653",4.2,73
89,Wak Marmi Muslim Food,"['Chinese', 'Malaysian']",Chinese,Malaysian,,Kiosk or Stall,#01-19 Jalan Batu Food Centre Jalan Batu 432004,,,
